CallFile,Year,Dialect,Site,UniqueBird,UniqueCall
2005_06_03_SARO_B2_C7.aif,2005,Nor,SARO,SARO_B2,SARO_B2_C7
2005_06_03_SARO_B2_C8.aif,2005,Nor,SARO,SARO_B2,SARO_B2_C8
2005_06_03_SARO_B2_C9.aif,2005,Nor,SARO,SARO_B2,SARO_B2_C9
2005_06_03_SARO_B3_C0.aif,2005,Nor,SARO,SARO_B3,SARO_B3_C0
2005_06_03_SARO_B3_C1.aif,2005,Nor,SARO,SARO_B3,SARO_B3_C1
2005_06_03_SARO_B3_C2.aif,2005,Nor,SARO,SARO_B3,SARO_B3_C2
2005_06_03_SARO_B3_C3.aif,2005,Nor,SARO,SARO_B3,SARO_B3_C3
2005_06_03_SARO_B3_C4.aif,2005,Nor,SARO,SARO_B3,SARO_B3_C4
2005_06_03_SARO_B3_C5.aif,2005,Nor,SARO,SARO_B3,SARO_B3_C5
2005_06_03_SARO_B3_C6.aif,2005,Nor,SARO,SARO_B3,SARO_B3_C6
2005_06_03_SARO_B3_C7.aif,2005,Nor,SARO,SARO_B3,SARO_B3_C7
2005_06_03_SARO_B3_C8.aif,2005,Nor,SARO,SARO_B3,SARO_B3_C8
2005_06_03_SARO_B3_C9.aif,2005,Nor,SARO,SARO_B3,SARO_B3_C9
2005_06_03_SARO_B4_C0.aif,2005,Nor,SARO,SARO_B4,SARO_B4_C0
2005_06_03_SARO_B4_C1.aif,2005,Nor,SARO,SARO_B4,SARO_B4_C1
2005_06_03_SARO_B4_C2.aif,2005,Nor,SARO,SARO_B4,SARO_B4_C2
2005_06_03_SARO_B4_C3.aif,2005,Nor,SARO,SARO_B4,SARO_B4_C3
2005_06_03_SARO_B4_C4.aif,2005,Nor,SARO,SARO_B4,SARO_B4_C4
2005_06_03_SARO_B4_C5.aif,2005,Nor,SARO,SARO_B4,SARO_B4_C5
2005_06_03_SARO_B4_C6.aif,2005,Nor,SARO,SARO_B4,SARO_B4_C6
2005_06_03_SARO_B4_C7.aif,2005,Nor,SARO,SARO_B4,SARO_B4_C7
2005_06_03_SARO_B4_C8.aif,2005,Nor,SARO,SARO_B4,SARO_B4_C8
2005_06_03_SARO_B4_C9.aif,2005,Nor,SARO,SARO_B4,SARO_B4_C9
2005_06_03_SARO_B5_C0.aif,2005,Nor,SARO,SARO_B5,SARO_B5_C0
2005_06_03_SARO_B5_C1.aif,2005,Nor,SARO,SARO_B5,SARO_B5_C1
2005_06_03_SARO_B5_C2.aif,2005,Nor,SARO,SARO_B5,SARO_B5_C2
2005_06_03_SARO_B5_C3.aif,2005,Nor,SARO,SARO_B5,SARO_B5_C3
2005_06_03_SARO_B5_C4.aif,2005,Nor,SARO,SARO_B5,SARO_B5_C4
2005_06_03_SARO_B5_C5.aif,2005,Nor,SARO,SARO_B5,SARO_B5_C5
2005_06_03_SARO_B5_C6.aif,2005,Nor,SARO,SARO_B5,SARO_B5_C6
2005_06_03_SARO_B5_C7.aif,2005,Nor,SARO,SARO_B5,SARO_B5_C7
2005_06_03_SARO_B5_C8.aif,2005,Nor,SARO,SARO_B5,SARO_B5_C8
2005_06_03_SARO_B5_C9.aif,2005,Nor,SARO,SARO_B5,SARO_B5_C9
2005_06_03_SARO_B6_C1.aif,2005,Nor,SARO,SARO_B6,SARO_B6_C1
2005_06_03_SARO_B6_C2.aif,2005,Nor,SARO,SARO_B6,SARO_B6_C2
2005_06_03_SARO_B6_C3.aif,2005,Nor,SARO,SARO_B6,SARO_B6_C3
2005_06_03_SARO_B7_C0.aif,2005,Nor,SARO,SARO_B7,SARO_B7_C0
2005_06_03_SARO_B7_C1.aif,2005,Nor,SARO,SARO_B7,SARO_B7_C1
2005_06_03_SARO_B7_C2.aif,2005,Nor,SARO,SARO_B7,SARO_B7_C2
2005_06_03_SARO_B7_C3.aif,2005,Nor,SARO,SARO_B7,SARO_B7_C3
2005_06_03_SARO_B7_C4.aif,2005,Nor,SARO,SARO_B7,SARO_B7_C4
2005_06_03_SARO_B7_C5.aif,2005,Nor,SARO,SARO_B7,SARO_B7_C5
2005_06_03_SARO_B7_C6.aif,2005,Nor,SARO,SARO_B7,SARO_B7_C6
2005_06_03_SARO_B7_C7.aif,2005,Nor,SARO,SARO_B7,SARO_B7_C7
2005_06_03_SARO_B7_C8.aif,2005,Nor,SARO,SARO_B7,SARO_B7_C8
2005_06_03_SARO_B7_C9.aif,2005,Nor,SARO,SARO_B7,SARO_B7_C9
